,match,team,start_time,end_time,player_ids,xG_conceded,opp_possession
0,3775643,West Ham United LFC,0.0,,"[18151, 31556, 34232]",0.0,0.0
1,3775642,Brighton & Hove Albion WFC,0.0,,"[16383, 16395]",0.0,0.0
2,2275103,West Ham United LFC,0.0,,"[18151, 18159, 31556]",0.0,0.0
3,2275103,West Ham United LFC,85.0,,"[18151, 31556, 18154]",0.0,0.0
4,2275097,Manchester City WFC,0.0,6.0,"[10185, 15554]",0.0,36.444565
5,2275097,Manchester City WFC,6.0,,[15554],0.0,0.0
6,3775610,Bristol City WFC,0.0,,"[16381, 36801]",0.0,0.0
7,3775610,Bristol City WFC,45.0,46.0,"[16381, 23412]",0.01963481,55.142104
8,3775610,Bristol City WFC,46.0,,[16381],0.0,0.0
9,3775616,West Ham United LFC,0.0,,"[18151, 34232]",0.0,0.0
10,3775577,Arsenal WFC,0.0,,"[10405, 18999]",0.0,0.0
11,3775644,Tottenham Hotspur Women,0.0,,"[5074, 31552]",0.0,0.0
12,3775606,Reading WFC,0.0,79.0,"[18998, 20061]",1.875479422,1267.678299237
13,3775606,Reading WFC,79.0,,"[20061, 24281]",0.0,0.0
14,3775602,Reading WFC,0.0,,"[20061, 21021]",0.0,0.0
15,19783,Everton LFC,0.0,,"[15574, 15575]",0.0,0.0
16,19747,Reading WFC,0.0,,"[10198, 18152]",0.0,0.0
17,19785,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
18,2275151,Manchester United,0.0,,"[31533, 31536]",0.0,0.0
19,19736,Arsenal WFC,0.0,,"[10666, 18999]",0.0,0.0
20,19822,Yeovil Town LFC,0.0,,"[15712, 15715]",0.0,0.0
21,19813,Birmingham City WFC,0.0,,"[19502, 19503]",0.0,0.0
22,3775563,Everton LFC,0.0,78.0,"[15575, 15789, 18254]",0.790504553,1491.951190025
23,3775563,Everton LFC,78.0,,"[15789, 18254]",0.0,0.0
24,3764238,Arsenal WFC,0.0,68.0,"[10235, 18999]",0.056886062,933.0349020049999
25,3764238,Arsenal WFC,68.0,,"[18999, 45156]",0.0,0.0
26,3775634,Aston Villa,0.0,,"[4657, 15565, 46537]",0.0,0.0
27,3775634,Aston Villa,17.0,19.0,"[4657, 46537]",0.0,44.243816
28,3775634,Aston Villa,19.0,61.0,"[4657, 46537, 46534]",1.303570924,957.90738903
29,3775634,Aston Villa,61.0,,"[4657, 46534]",0.0,0.0
30,19720,Bristol City WFC,0.0,,"[10171, 16381, 16383]",0.0,0.0
31,19720,Bristol City WFC,89.0,,"[10171, 16383]",0.0,0.0
32,3775631,Bristol City WFC,0.0,78.0,"[15618, 46741]",0.8063748815999999,1634.10452801
33,3775631,Bristol City WFC,78.0,79.0,"[15618, 23412]",0.0,0.0
34,3775631,Bristol City WFC,79.0,,[23412],0.0,0.0
35,3764239,Tottenham Hotspur Women,0.0,,"[5074, 15569]",0.0,0.0
36,3764239,Tottenham Hotspur Women,85.0,,"[5074, 31702]",0.0,0.0
37,3775547,Manchester City WFC,0.0,,"[10185, 10252]",0.0,0.0
38,3775547,Manchester City WFC,75.0,,"[10252, 5081]",0.0,0.0
39,2275083,Birmingham City WFC,0.0,,"[15569, 15574]",0.0,0.0
40,3775614,Chelsea FCW,0.0,91.0,"[4633, 4642]",0.158403326,935.792696012
41,3775614,Chelsea FCW,91.0,,[4642],0.0,0.0
42,3775597,Manchester United,0.0,,"[31533, 31536]",0.0,0.0
43,2275082,Arsenal WFC,0.0,,"[17524, 18999]",0.0,0.0
44,2275049,West Ham United LFC,0.0,,"[18151, 18159, 31556]",0.0,0.0
45,2275049,West Ham United LFC,65.0,,"[18151, 31556]",0.0,0.0
46,3775603,West Ham United LFC,0.0,,"[18151, 31556, 34232]",0.0,0.0
47,2275154,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
48,3775637,Aston Villa,0.0,71.0,"[46534, 46535]",0.905179778,1306.25414303
49,3775637,Aston Villa,71.0,79.0,[46535],0.036879957,57.554126000000004
50,3775637,Aston Villa,79.0,,[46535],0.0,0.0
51,19719,Reading WFC,0.0,,"[10198, 18152]",0.0,0.0
52,3775592,Tottenham Hotspur Women,0.0,,"[5074, 15569]",0.0,0.0
53,2275042,West Ham United LFC,0.0,64.0,"[18151, 31556]",2.422059641,1148.9921410309998
54,2275042,West Ham United LFC,64.0,,[31556],0.0,0.0
